0.46	1053.2	0.46	121.3	0.46	99.528	0.46	264.78	0.46	311.49	0.46	72.381	0.46	128.52	0.46	102.26	0.46	226.61	0.46	135.03	0.46	187.95	0.46	93.269	0.46	218.1	0.46	113.48
0.48	1601	0.48	131.4	0.48	80.657	0.48	84.522	0.48	137.77	0.48	42.826	0.48	76.017	0.48	89.722	0.48	79.217	0.48	115.65	0.48	166.67	0.48	364.53	0.48	242.23	0.48	127.17
0.5	509.28	0.5	72.101	0.5	75.385	0.5	72.297	0.5	118.77	0.5	22.793	0.5	27.904	0.5	88.385	0.5	100.11	0.5	54.968	0.5	121.89	0.5	168.44	0.5	248.34	0.5	187.25
0.52	703.37	0.52	51.13	0.52	108.09	0.52	168.23	0.52	130.86	0.52	46.161	0.52	44.622	0.52	50.814	0.52	107.48	0.52	61.638	0.52	60.466	0.52	153.56	0.52	97.763	0.52	123.03
0.54	183.15	0.54	82.372	0.54	67.156	0.54	50.821	0.54	93.402	0.54	15.489	0.54	53.943	0.54	40.328	0.54	93.702	0.54	49.917	0.54	86.422	0.54	38.039	0.54	80.567	0.54	29.666
0.56	481.18	0.56	98.394	0.56	24.898	0.56	38.403	0.56	51.296	0.56	15.427	0.56	44.775	0.56	108.17	0.56	60.776	0.56	55.863	0.56	64.419	0.56	66.757	0.56	83.731	0.56	71.197
0.58	499.02	0.58	41.43	0.58	20.498	0.58	98.383	0.58	50.588	0.58	12.719	0.58	27.038	0.58	31.116	0.58	62.187	0.58	20.646	0.58	55.091	0.58	38.899	0.58	20.551	0.58	52.084
0.6	392.29	0.6	21.396	0.6	10.627	0.6	43.145	0.6	55.366	0.6	16.835	0.6	28.286	0.6	18.303	0.6	27.829	0.6	7.884	0.6	124.12	0.6	45.873	0.6	61.081	0.6	45.446
0.62	174.24	0.62	19.682	0.62	21.998	0.62	42.733	0.62	41.148	0.62	7.0375	0.62	11.684	0.62	14.14	0.62	21.097	0.62	14.52	0.62	49.037	0.62	27.452	0.62	25.708	0.62	43.409
0.64	281.6	0.64	17.941	0.64	8.6281	0.64	32.948	0.64	11.097	0.64	5.9744	0.64	21.804	0.64	24.38	0.64	21.436	0.64	9.571	0.64	31.505	0.64	19.107	0.64	21.701	0.64	38.854
0.66	138.42	0.66	12.343	0.66	15.939	0.66	10.293	0.66	32.984	0.66	9.9839	0.66	4.2184	0.66	28.526	0.66	7.5683	0.66	15.739	0.66	5.0356	0.66	22.345	0.66	16.519	0.66	13.298
0.68	404.68	0.68	6.9358	0.68	8.7331	0.68	10.503	0.68	10.945	0.68	4.7052	0.68	9.543	0.68	13.199	0.68	14.28	0.68	13.074	0.68	26.645	0.68	7.6562	0.68	30.648	0.68	19.067
0.7	394.75	0.7	14.184	0.7	4.4333	0.7	19.043	0.7	9.4363	0.7	1.9009	0.7	10.036	0.7	13.875	0.7	20.14	0.7	8.8611	0.7	7.6285	0.7	14.025	0.7	12.741	0.7	20.691
0.72	102.54	0.72	3.7304	0.72	3.22	0.72	2.885	0.72	17.259	0.72	1.8235	0.72	9.8742	0.72	10.962	0.72	16.298	0.72	4.653	0.72	25.364	0.72	19.257	0.72	6.4247	0.72	8.0915
0.74	608.08	0.74	3.8469	0.74	3.9927	0.74	3.5688	0.74	3.0564	0.74	2.2319	0.74	3.9224	0.74	6.0051	0.74	12.168	0.74	5.9661	0.74	12.45	0.74	11.89	0.74	10.075	0.74	17.545
0.76	149.5	0.76	5.1236	0.76	1.8812	0.76	2.6233	0.76	9.8643	0.76	1.8056	0.76	11.673	0.76	8.2902	0.76	5.6633	0.76	1.9571	0.76	8.976	0.76	12.925	0.76	3.0732	0.76	10.971
0.78	381.49	0.78	3.0679	0.78	3.2391	0.78	2.2751	0.78	7.625	0.78	2.3231	0.78	9.9485	0.78	8.163	0.78	4.8973	0.78	3.2493	0.78	4.8526	0.78	8.7145	0.78	4.2704	0.78	6.1375
0.8	98.601	0.8	2.4405	0.8	2.2959	0.8	4.9423	0.8	4.7093	0.8	3.3764	0.8	7.6641	0.8	4.9976	0.8	2.6752	0.8	2.7461	0.8	7.74	0.8	2.5346	0.8	4.2403	0.8	4.2902
0.82	310.92	0.82	1.9093	0.82	2.9545	0.82	3.2587	0.82	4.7224	0.82	2.1401	0.82	7.4469	0.82	3.1758	0.82	2.2947	0.82	2.6944	0.82	6.6418	0.82	6.8723	0.82	3.3238	0.82	4.5112
0.84	122.23	0.84	2.3052	0.84	1.7242	0.84	3.5093	0.84	6.6284	0.84	3.2467	0.84	3.8507	0.84	2.656	0.84	2.2207	0.84	1.8026	0.84	5.6628	0.84	2.8636	0.84	4.9301	0.84	8.4395
0.86	56.333	0.86	1.253	0.86	1.4284	0.86	2.28	0.86	3.7659	0.86	1.8208	0.86	6.3427	0.86	3.0216	0.86	3.6851	0.86	0.96849	0.86	3.0516	0.86	3.474	0.86	1.0662	0.86	7.268
0.88	191.04	0.88	1.6057	0.88	1.8447	0.88	0.88824	0.88	3.923	0.88	0.78714	0.88	3.6641	0.88	1.3167	0.88	1.6433	0.88	1.4006	0.88	2.1318	0.88	3.2635	0.88	1.5268	0.88	3.4021
0.9	109.55	0.9	2.2369	0.9	1.8295	0.9	3.7099	0.9	4.0043	0.9	1.8746	0.9	5.615	0.9	1.4474	0.9	2.1124	0.9	0.94274	0.9	2.4435	0.9	1.7478	0.9	2.8183	0.9	4.1391
0.92	133.53	0.92	1.3526	0.92	3.1376	0.92	1.1259	0.92	3.0901	0.92	2.3005	0.92	3.6781	0.92	0.96544	0.92	0.93552	0.92	0.61707	0.92	1.759	0.92	1.8435	0.92	2.2142	0.92	1.6573
0.94	65.159	0.94	0.95777	0.94	1.6564	0.94	3.714	0.94	2.4277	0.94	2.0653	0.94	2.8757	0.94	0.68221	0.94	0.63144	0.94	2.5333	0.94	1.3886	0.94	2.4479	0.94	1.4701	0.94	3.7428
0.96	5.9743	0.96	0.78133	0.96	1.1568	0.96	0.71409	0.96	1.7301	0.96	0.76294	0.96	2.4664	0.96	1.7954	0.96	1.251	0.96	0.48808	0.96	1.4388	0.96	2.9724	0.96	2.0277	0.96	3.1714
0.98	21.728	0.98	0.7488	0.98	1.9112	0.98	2.0314	0.98	3.7907	0.98	1.3279	0.98	4.8087	0.98	0.7924	0.98	2.1504	0.98	1.1232	0.98	0.79755	0.98	2.1168	0.98	3.2688	0.98	1.2571
1	53.629	1	2.5514	1	2.2758	1	1.0003	1	1.1856	1	0.69483	1	1.7824	1	1.5313	1	0.93026	1	0.70074	1	1.9471	1	2.1456	1	1.6276	1	1.462
1.02	51.876	1.02	0.62786	1.02	1.5873	1.02	0.87989	1.02	1.8632	1.02	0.31591	1.02	1.972	1.02	1.0255	1.02	0.3436	1.02	1.1902	1.02	0.85698	1.02	1.0315	1.02	2.0077	1.02	1.1569
1.04	102.27	1.04	1.0748	1.04	0.67955	1.04	1.8407	1.04	0.76802	1.04	1.1175	1.04	2.9072	1.04	1.1439	1.04	0.48199	1.04	0.84648	1.04	1.0769	1.04	1.0207	1.04	0.85909	1.04	3.3066
1.06	11.821	1.06	0.34826	1.06	1.2507	1.06	0.15714	1.06	1.3638	1.06	1.7109	1.06	1.2933	1.06	0.44359	1.06	0.2391	1.06	0.2881	1.06	1.073	1.06	0.62743	1.06	1.1435	1.06	1.8182
1.08	44.698	1.08	0.7792	1.08	1.9413	1.08	1.3352	1.08	2.116	1.08	0.88879	1.08	1.5256	1.08	0.85596	1.08	1.3009	1.08	0.66266	1.08	0.93365	1.08	1.0753	1.08	0.85975	1.08	2.6677
1.1	11.63	1.1	0.41144	1.1	0.78209	1.1	1.1467	1.1	0.97529	1.1	0.73783	1.1	1.2619	1.1	0.4243	1.1	0.76349	1.1	0.73184	1.1	0.78176	1.1	0.54042	1.1	1.5053	1.1	2.5017
1.12	17.135	1.12	0.74727	1.12	0.91915	1.12	1.5843	1.12	1.0185	1.12	1.8998	1.12	2.3401	1.12	0.36763	1.12	0.58277	1.12	0.4513	1.12	0.73741	1.12	0.51019	1.12	2.0381	1.12	2.9588
1.14	44.652	1.14	0.15709	1.14	0.74759	1.14	1.5923	1.14	0.86639	1.14	1.9943	1.14	1.4941	1.14	0.38997	1.14	0.53608	1.14	0.59191	1.14	0.63582	1.14	0.95451	1.14	0.46123	1.14	2.1387
1.16	32.918	1.16	0.69675	1.16	1.0469	1.16	0.95338	1.16	0.36321	1.16	0.47784	1.16	0.90742	1.16	0.85271	1.16	0.64216	1.16	0.43347	1.16	0.32266	1.16	0.93366	1.16	0.95157	1.16	1.5976
1.18	20.122	1.18	0.77078	1.18	0.75346	1.18	0.43129	1.18	1.7814	1.18	0.95315	1.18	1.3846	1.18	0.31665	1.18	0.38369	1.18	0.63594	1.18	0.54224	1.18	1.5524	1.18	0.63896	1.18	0.62564
1.2	27.307	1.2	0.79779	1.2	0.58299	1.2	0.77597	1.2	0.21798	1.2	0.81918	1.2	1.6848	1.2	0.44946	1.2	0.79224	1.2	0.56198	1.2	0.69408	1.2	1.0165	1.2	1.1261	1.2	0.3797
1.22	8.3859	1.22	0.66209	1.22	0.21992	1.22	0.44593	1.22	0.68131	1.22	0.16576	1.22	2.117	1.22	0.69807	1.22	0.19212	1.22	0.14368	1.22	0.33405	1.22	0.88414	1.22	0.2168	1.22	1.0198
1.24	18.522	1.24	0.26806	1.24	0.54137	1.24	0.51036	1.24	1.3349	1.24	1.2747	1.24	0.88183	1.24	0.64538	1.24	0.36709	1.24	0.30713	1.24	0.34616	1.24	0.37878	1.24	0.2304	1.24	0.80882
1.26	20.081	1.26	0.70037	1.26	0.37606	1.26	0.64015	1.26	0.98271	1.26	2.0351	1.26	0.83608	1.26	0.16602	1.26	0.40712	1.26	0.50156	1.26	0.14707	1.26	0.60702	1.26	0.75478	1.26	1.4175
1.28	11.164	1.28	0.32545	1.28	0.70294	1.28	0.705	1.28	0.47678	1.28	0.66238	1.28	1.0465	1.28	0.095871	1.28	0.39687	1.28	0.24756	1.28	0.5999	1.28	0.44861	1.28	0.77047	1.28	0.40317
1.3	6.024	1.3	0.20622	1.3	0.50304	1.3	0.49391	1.3	0.69003	1.3	0.64408	1.3	1.5008	1.3	0.30001	1.3	0.22967	1.3	0.19407	1.3	0.28477	1.3	0.54084	1.3	0.53989	1.3	1.3986
1.32	7.9406	1.32	0.11259	1.32	0.56901	1.32	0.53918	1.32	0.41722	1.32	1.0304	1.32	0.91213	1.32	0.66126	1.32	0.33871	1.32	0.21101	1.32	0.19342	1.32	0.20093	1.32	0.40461	1.32	1.3236
1.34	2.7283	1.34	0.16203	1.34	0.69365	1.34	0.5518	1.34	0.4965	1.34	0.60276	1.34	2.0486	1.34	0.60932	1.34	0.58919	1.34	0.26455	1.34	0.5418	1.34	0.36678	1.34	0.2326	1.34	2.2345
1.36	4.3052	1.36	0.54727	1.36	0.67757	1.36	0.30392	1.36	0.80438	1.36	0.40092	1.36	1.1957	1.36	0.81588	1.36	0.37118	1.36	0.17036	1.36	0.19096	1.36	0.54768	1.36	0.79024	1.36	1.1787
1.38	1.6672	1.38	0.22054	1.38	1.292	1.38	0.762	1.38	1.246	1.38	0.53231	1.38	1.5669	1.38	0.30371	1.38	0.1721	1.38	0.26035	1.38	0.56732	1.38	0.44469	1.38	0.52443	1.38	1.2937
1.4	4.0466	1.4	0.29735	1.4	0.71698	1.4	0.76624	1.4	0.64531	1.4	0.96572	1.4	0.92362	1.4	0.9265	1.4	0.16463	1.4	0.26763	1.4	0.2555	1.4	0.4412	1.4	0.7584	1.4	0.85551
1.42	1.357	1.42	0.3337	1.42	0.63163	1.42	0.85424	1.42	1.2573	1.42	0.31768	1.42	1.137	1.42	0.1704	1.42	0.19256	1.42	0.40082	1.42	0.12115	1.42	0.38781	1.42	0.11521	1.42	0.40068
1.44	2.7115	1.44	0.077873	1.44	0.54326	1.44	0.20235	1.44	0.55284	1.44	0.29676	1.44	0.57843	1.44	0.25263	1.44	0.24803	1.44	0.099235	1.44	0.39108	1.44	0.34327	1.44	0.53396	1.44	0.88706
1.46	1.3228	1.46	0.2463	1.46	1.0745	1.46	0.31476	1.46	0.82747	1.46	0.56713	1.46	1.0848	1.46	0.35608	1.46	0.18157	1.46	0.49657	1.46	0.11943	1.46	0.25594	1.46	0.17963	1.46	0.65612
1.48	3.2167	1.48	0.30697	1.48	0.46924	1.48	0.44774	1.48	0.94942	1.48	0.36868	1.48	1.0816	1.48	0.44259	1.48	0.19561	1.48	0.18199	1.48	0.25922	1.48	0.29855	1.48	0.22523	1.48	0.8965
1.5	0.91871	1.5	0.25568	1.5	0.45782	1.5	0.80572	1.5	1.149	1.5	0.18514	1.5	0.63275	1.5	0.51027	1.5	0.076242	1.5	0.22745	1.5	0.39499	1.5	0.17862	1.5	0.42529	1.5	0.73291
1.52	1.6838	1.52	0.23007	1.52	0.52897	1.52	0.69856	1.52	0.37001	1.52	0.72003	1.52	0.96331	1.52	0.36683	1.52	0.25975	1.52	0.40022	1.52	0.32817	1.52	0.19791	1.52	0.34504	1.52	0.17629
1.54	1.7666	1.54	0.28006	1.54	0.43372	1.54	0.33448	1.54	1.1912	1.54	0.33129	1.54	0.44474	1.54	0.51844	1.54	0.19882	1.54	0.37913	1.54	0.34531	1.54	0.1706	1.54	0.26817	1.54	0.38206
1.56	1.5015	1.56	0.29743	1.56	0.3413	1.56	0.087174	1.56	0.30582	1.56	0.64502	1.56	1.6166	1.56	0.25589	1.56	0.097481	1.56	0.15751	1.56	0.085971	1.56	0.42407	1.56	0.18	1.56	0.5057
1.58	1.7531	1.58	0.35101	1.58	0.24015	1.58	0.21194	1.58	0.26596	1.58	0.56486	1.58	0.68453	1.58	0.48676	1.58	0.20871	1.58	0.13592	1.58	0.29157	1.58	0.059453	1.58	0.47861	1.58	0.56941
1.6	0.91382	1.6	0.10127	1.6	0.46541	1.6	0.18706	1.6	0.798	1.6	0.45398	1.6	0.96612	1.6	0.33342	1.6	0.30022	1.6	0.2613	1.6	0.20823	1.6	0.23429	1.6	0.29747	1.6	0.43459
1.62	1.0733	1.62	0.13789	1.62	0.31667	1.62	0.10454	1.62	0.82073	1.62	0.24113	1.62	0.7997	1.62	0.21848	1.62	0.46434	1.62	0.16633	1.62	0.41661	1.62	0.16561	1.62	0.19943	1.62	0.74389
1.64	3.4555	1.64	0.25549	1.64	0.50753	1.64	0.32994	1.64	0.31146	1.64	0.35967	1.64	0.65771	1.64	0.096501	1.64	0.16391	1.64	0.18317	1.64	0.26983	1.64	0.3433	1.64	0.26197	1.64	0.7501
1.66	0.22015	1.66	0.26607	1.66	0.45192	1.66	0.27576	1.66	0.55142	1.66	0.20847	1.66	0.55887	1.66	0.47687	1.66	0.087155	1.66	0.15423	1.66	0.32063	1.66	0.26106	1.66	0.50028	1.66	0.8551
1.68	0.91165	1.68	0.15573	1.68	0.38858	1.68	0.26924	1.68	0.45535	1.68	0.33913	1.68	1.0252	1.68	0.032845	1.68	0.11396	1.68	0.14143	1.68	0.20756	1.68	0.238	1.68	0.43536	1.68	0.39029
